offer_id,store_id,sku,method
OF-01,ST-08,PC-1010,PICKUP
OF-02,ST-17,PC-1015,PICKUP
OF-03,ST-17,PC-1015,DELIVERY
OF-04,ST-23,PC-1012,PICKUP
OF-05,ST-31,PC-1012,PICKUP
OF-06,ST-44,PC-2010,PICKUP
OF-07,ST-44,PC-3010,PICKUP
OF-08,ST-44,PC-1015,PICKUP
OF-09,ST-44,PC-1015,DELIVERY
OF-10,ST-23,PC-5010,PICKUP
OF-11,ST-44,PC-1008,PICKUP
OF-12,ST-52,PC-1012,PICKUP
OF-13,ST-52,PC-1012,DELIVERY
OF-14,ST-52,PC-3008,PICKUP
OF-15,ST-44,PC-3006,PICKUP
OF-16,ST-23,PC-1020,PICKUP
OF-17,ST-52,PC-1010,DELIVERY
OF-18,ST-08,PC-1015,PICKUP
OF-19,ST-23,PC-1015,DELIVERY
OF-20,ST-44,PC-1012,PICKUP
OF-21,ST-44,PC-4037,PICKUP
OF-22,ST-52,PC-4030,PICKUP
OF-08,ST-44,PC-1015,PICKUP
