store_id,item_code,posted_local,event,qty
ST-52,VLX-F8-12,2026-09-24 17:30,RECEIPT,3
ST-44,PC-1012,2026-09-24 18:05,SALE,1
ST-08,PC-1010,2026-09-25 09:00,OPENING,1
ST-08,PC-1015,2026-09-25 09:00,OPENING,3
ST-17,PC-1015,2026-09-25 09:00,OPENING,6
ST-17,PC-1012,2026-09-25 09:00,OPENING,2
ST-23,PC-1012,2026-09-25 09:00,OPENING,4
ST-23,PC-5010,2026-09-25 09:00,OPENING,4
ST-23,PC-1020,2026-09-25 09:00,OPENING,2
ST-23,PC-1015,2026-09-25 09:00,OPENING,2
ST-31,PC-1012,2026-09-25 09:00,OPENING,4
ST-44,PC-2010,2026-09-25 09:00,OPENING,5
ST-44,PC-3010,2026-09-25 09:00,OPENING,7
ST-44,PC-1015,2026-09-25 09:00,OPENING,2
ST-44,PC-1008,2026-09-25 09:00,OPENING,9
ST-44,PC-3006,2026-09-25 09:00,OPENING,3
ST-44,PC-1012,2026-09-25 09:00,OPENING,2
st-52,vlx-f8-12,2026-09-25 09:00,OPENING,3
ST-52,PC-3008,2026-09-25 09:00,OPENING,5
ST-52,PC-1010,2026-09-25 09:00,OPENING,4
ST-44,PC-4037,2026-09-25 09:00,OPENING,2
ST-52,PC-4030,2026-09-25 09:00,OPENING,6
ST-23,PC-1015,2026-09-25 09:45,SALE,1
ST-44,PC-1012,2026-09-25 10:15,SALE,1
st-44,pc-1012,2026-09-25 10:22,VOID,1
ST-52,PC-1010,2026-09-25 10:30,TRANSFER_OUT,2
ST-52,PC-1012,2026-09-25 11:10,SALE,1
ST-17,PC-1012,2026-09-25 11:40,SALE,1
ST-31,PC-1012,2026-09-25 12:05,SALE,1
ST-17,PC-1015,2026-09-25 13:20,SALE,1
ST-52,VLX-F8-12,2026-09-25 13:55,SALE,1
ST-44,PC-1012,2026-09-25 14:40,SALE,1
ST-44,PC-1015,2026-09-25 15:05,HOLD,1
ST-08,PC-1010,2026-09-25 15:20,SALE,1
ST-52,PC-1010,2026-09-25 16:15,RECEIPT,3
