offer_id,decision,reason_code,landed_cost_usd
OF-01,INELIGIBLE,NO_STOCK,
OF-02,ELIGIBLE,NONE,23.97
OF-03,INELIGIBLE,OUT_OF_RADIUS,
OF-04,ELIGIBLE,NONE,18.62
OF-05,INELIGIBLE,SAME_DAY_SUSPENDED,
OF-06,INELIGIBLE,FIT_POLARIZED,
OF-07,INELIGIBLE,FIT_GAUGE,
OF-08,ELIGIBLE,NONE,24.13
OF-09,ELIGIBLE,NONE,34.12
OF-10,INELIGIBLE,FIT_CONNECTOR,
OF-11,INELIGIBLE,FIT_LENGTH,
OF-12,ELIGIBLE,NONE,18.62
OF-13,INELIGIBLE,STOCK_RESERVE,
OF-14,INELIGIBLE,FIT_GAUGE,
OF-15,INELIGIBLE,FIT_LENGTH,
OF-16,INELIGIBLE,FIT_GAUGE,
OF-17,INELIGIBLE,SAME_DAY_SUSPENDED,
OF-18,ELIGIBLE,NONE,23.75
OF-19,INELIGIBLE,STOCK_RESERVE,
OF-20,ELIGIBLE,NONE,18.66
OF-21,ELIGIBLE,NONE,18.62
OF-22,INELIGIBLE,FIT_LENGTH,
