wine_id,layer_date,bottles,unit_cost
W-01,2024-12-19,24,15.39
W-01,2024-09-22,6,14.82
W-02,2024-11-04,12,9.68
W-02,2024-09-27,30,8.50
W-02,2024-09-21,24,8.57
W-03,2024-09-16,24,13.98
W-05,2024-11-26,30,29.98
W-05,2024-07-05,30,28.81
W-06,2024-12-09,18,8.73
W-06,2024-08-26,6,9.24
W-07,2024-11-01,30,30.16
W-07,2024-07-27,9,29.00
W-08,2024-11-12,12,14.16
W-09,2024-11-09,30,16.11
W-09,2024-10-01,24,15.48
W-11,2024-09-09,12,16.12
W-12,2024-12-17,12,39.32
W-13,2024-08-27,24,6.26
W-13,2024-07-10,30,6.87
W-15,2024-12-09,12,8.76
W-15,2024-10-22,12,8.01
W-15,2024-07-17,6,8.16
W-16,2024-09-23,12,11.38
W-17,2024-12-04,24,17.18
W-17,2024-11-14,30,15.70
W-18,2024-12-09,6,42.72
W-18,2024-11-06,24,41.57
W-18,2024-07-11,6,39.13
W-19,2024-12-01,9,30.38
W-19,2024-07-07,18,28.81
W-20,2024-11-16,9,25.36
W-21,2024-08-17,6,23.40
W-21,2024-08-06,12,21.70
W-21,2024-07-10,24,21.70
W-22,2024-10-04,24,47.94
W-23,2024-10-08,9,30.38
W-23,2024-09-28,18,29.23
W-24,2024-09-25,6,26.27
W-24,2024-08-25,9,26.13
W-24,2024-07-07,24,24.30
W-25,2024-09-24,6,63.50
W-25,2024-07-27,12,61.05
W-26,2024-10-24,12,13.76
W-28,2024-10-09,30,20.09
W-28,2024-07-02,12,19.34
W-29,2024-11-16,9,14.99
W-29,2024-09-14,12,14.80
W-30,2024-12-15,6,50.30
W-30,2024-09-09,9,48.36
W-34,2024-12-13,6,10.47
W-34,2024-11-03,24,9.68
W-35,2024-11-24,9,15.28
W-35,2024-10-30,18,15.17
W-35,2024-07-08,24,13.76
