movement_id,posted_date,wine_id,movement,bottles,unit_price,supplier,vintage,reference
M-1005,2025-01-03,W-13,SALE,14,8.19,,,
M-1008,2025-01-04,W-17,SALE,8,18.18,,,
M-1010,2025-01-08,W-13,SALE,11,8.24,,,
M-1014,2025-01-11,W-34,SALE,3,11.28,,,
M-1017,2025-01-14,W-18,RECEIPT,36,46.15,Bordeaux Negoce,2026,
M-1018,2025-01-14,W-25,SALE,17,71.46,,,
M-1022,2025-01-14,W-29,SALE,9,18.58,,,
M-1024,2025-01-16,W-26,SALE,2,16.50,,,
M-1028,2025-01-18,W-09,SALE,17,18.80,,,
M-1030,2025-01-21,W-15,RECEIPT,36,8.80,Rioja Direct,NV,
M-1035,2025-01-22,W-29,SALE,12,18.90,,,
M-1038,2025-01-23,W-01,SALE,11,18.06,,,
M-1039,2025-01-28,W-33,RECEIPT,18,8.30,Rioja Direct,2023,
M-1043,2025-01-31,W-21,WRITE_OFF,4,,,,
M-1047,2025-02-01,W-18,SALE,19,52.74,,,
M-1049,2025-02-03,W-11,SALE,8,18.85,,,
M-1053,2025-02-03,W-13,SALE,11,7.99,,,
M-1054,2025-02-03,W-26,SALE,3,16.61,,,
M-1057,2025-02-04,W-16,SALE,8,13.94,,,
M-1060,2025-02-04,W-34,WRITE_OFF,2,,,,
M-1063,2025-02-05,W-06,SALE,18,10.35,,,
M-1067,2025-02-07,W-07,SALE,9,40.02,,,
M-1070,2025-02-07,W-18,SALE,14,52.61,,,
M-1072,2025-02-10,W-04,RECEIPT,36,8.55,Reims Cellars,NV,
M-1076,2025-02-10,W-10,RECEIPT,24,14.50,Barossa Exports,2018,
M-1078,2025-02-10,W-14,RECEIPT,36,16.75,Douro Trading,1997,
M-1082,2025-02-10,W-19,RECEIPT,18,33.50,Bordeaux Negoce,2020,
M-1086,2025-02-10,W-27,RECEIPT,12,25.15,Tuscan Vines,2026,
M-1088,2025-02-10,W-31,RECEIPT,48,55.25,Tuscan Vines,NV,
M-1091,2025-02-12,W-13,SALE,8,7.49,,,
M-1093,2025-02-12,W-16,SALE,4,13.78,,,
M-1098,2025-02-12,W-33,SALE,13,11.80,,,
M-1101,2025-02-13,W-14,SALE,21,22.82,,,
