wine_id,finding
W-01,compliant
W-02,compliant
W-03,compliant
W-04,VINTAGE_INVALID
W-05,MARGIN_TOO_LOW|SUPPLIER_MISMATCH
W-06,MARGIN_TOO_LOW
W-07,compliant
W-08,compliant
W-09,compliant
W-10,compliant
W-11,MARGIN_TOO_LOW|VINTAGE_INVALID
W-12,compliant
W-13,MARGIN_TOO_LOW
W-14,VINTAGE_INVALID
W-15,MARGIN_TOO_LOW
W-16,MARGIN_TOO_LOW
W-17,MARGIN_TOO_LOW
W-18,compliant
W-19,SUPPLIER_MISMATCH
W-20,compliant
W-21,compliant
W-22,compliant
W-23,compliant
W-24,MARGIN_TOO_LOW
W-25,MARGIN_TOO_LOW
W-26,compliant
W-27,compliant
W-28,compliant
W-29,compliant
W-30,SUPPLIER_MISMATCH
W-31,MARGIN_TOO_LOW
W-32,MARGIN_TOO_LOW
W-33,compliant
W-34,VINTAGE_INVALID
W-35,MARGIN_TOO_LOW
W-36,compliant
